"","state","black_05_inc","err_black_05_inc","asian_05_inc","err_asian_05_inc","latino_05_inc","err_latino_05_inc","white_05_inc","err_white_05_inc","black_06_inc","err_black_06_inc","asian_06_inc","err_asian_06_inc","latino_06_inc","err_latino_06_inc","white_06_inc","err_white_06_inc","black_07_inc","err_black_07_inc","asian_07_inc","err_asian_07_inc","latino_07_inc","err_latino_07_inc","white_07_inc","err_white_07_inc","black_08_inc","err_black_08_inc","asian_08_inc","err_asian_08_inc","latino_08_inc","err_latino_08_inc","white_08_inc","err_white_08_inc","black_09_inc","err_black_09_inc","asian_09_inc","err_asian_09_inc","latino_09_inc","err_latino_09_inc","white_09_inc","err_white_09_inc","black_10_inc","err_black_10_inc","asian_10_inc","err_asian_10_inc","latino_10_inc","err_latino_10_inc","white_10_inc","err_white_10_inc","black_11_inc","err_black_11_inc","asian_11_inc","err_asian_11_inc","latino_11_inc","err_latino_11_inc","white_11_inc","err_white_11_inc","black_12_inc","err_black_12_inc","asian_12_inc","err_asian_12_inc","latino_12_inc","err_latino_12_inc","white_12_inc","err_white_12_inc","black_13_inc","err_black_13_inc","asian_13_inc","err_asian_13_inc","latino_13_inc","err_latino_13_inc","white_13_inc","err_white_13_inc","black_14_inc","err_black_14_inc","asian_14_inc","err_asian_14_inc","latino_14_inc","err_latino_14_inc","white_14_inc","err_white_14_inc","black_15_inc","err_black_15_inc","asian_15_inc","err_asian_15_inc","latino_15_inc","err_latino_15_inc","white_15_inc","err_white_15_inc","black_16_inc","err_black_16_inc","asian_16_inc","err_asian_16_inc","latino_16_inc","err_latino_16_inc","white_16_inc","err_white_16_inc"
"22","Massachusetts",35702,3273,66986,5297,61083,626,29778,1937,38496,3427,63643,3980,63631,824,30140,1789,39917,1850,69552,2053,65939,406,31075,1056,42095,1262,72168,2038,69226,471,32037,924,41374,972,73159,1859,68883,362,32205,979,42115,1270,71704,1324,69431,400,32206,697,42265,923,74519,1767,71277,400,33723,1033,42676,960,75255,1741,72091,359,34089,954,43345,834,75996,1563,72488,388,34269,779,42895,861,77889,1769,73949,395,34870,679,42959,1038,78996,2138,74905,356,36171,765,44117,1261,82020,1635,77261,369,37100,808
"23","Michigan",30311,906,61622,2424,49162,531,38522,2560,31276,721,67985,2892,50511,311,36372,1908,31534,511,68611,2270,51794,181,38187,1193,31982,420,72245,1987,52954,224,39077,1448,31278,348,70182,1531,52010,163,38416,862,31308,271,70525,1537,51764,167,38175,985,30796,302,72610,2106,52067,166,38444,834,30261,292,72194,2157,52087,199,38552,666,29629,353,73269,2150,52113,176,37640,818,29628,366,73809,1882,52740,190,38757,888,29678,455,74517,1733,53303,195,39571,1081,30732,351,76370,1799,54670,209,41318,804
"24","Minnesota",25183,1643,53916,3252,53975,468,35492,3432,30120,3471,60372,4294,55979,452,36850,2960,28667,1709,59909,2816,57608,307,39081,1902,30302,1314,63229,2183,59994,290,41065,1516,28913,1021,60277,1887,59167,244,40068,1647,28595,956,60371,1307,59870,223,40163,1299,28881,800,61931,1555,61205,234,40193,981,29003,857,64093,1249,61860,229,40933,1289,29896,998,64716,1459,62560,244,41196,1101,29873,959,65575,1551,63642,291,41674,984,30314,905,66780,1688,64485,274,42227,1054,30703,721,69647,1469,66399,254,44000,1349
"25","Mississippi",21963,806,45653,10800,41280,769,31351,4770,21969,716,45216,7628,43222,1122,35378,6666,23164,484,40849,4860,44714,564,36881,3053,24321,529,45804,6157,47276,642,39063,3785,23935,352,43576,3655,46405,494,36941,2961,24609,382,44359,4654,47508,450,40051,2129,25455,361,48674,5700,48319,514,40713,2730,25734,367,49193,4909,48454,474,38958,3140,25800,392,50162,5820,48573,443,39091,3498,26384,317,51584,4806,48960,474,38802,3303,26549,300,52727,3922,49333,505,37488,2089,27174,379,53833,4065,50525,390,37891,2662
"26","Missouri",28540,1185,46585,3241,44221,558,38049,2746,27808,1418,50950,3328,45430,402,36738,3415,29704,817,50219,2998,46981,278,39359,2359,30433,625,55521,2918,49038,307,39339,2764,30388,420,56370,2381,48494,197,39640,1590,30653,469,56587,2285,48929,226,38811,1558,31593,475,59040,2789,49991,177,38722,1350,31374,496,61507,2149,50245,204,38094,1129,31511,459,61613,1940,50312,221,37732,1320,31831,487,61162,2527,50811,223,38431,1263,31977,387,60908,2205,51135,220,38712,1613,32923,594,62232,2448,52421,243,40566,1044
"27","Montana",18854,10742,41838,19066,40409,765,33604,5951,24365,7155,34321,9407,41823,654,27165,7661,24213,6916,35789,6948,43613,512,33809,2330,23587,7262,28774,5267,45339,641,32399,5337,24734,8688,34300,7438,44385,485,31668,2596,34079,10278,34732,9117,45121,498,32182,1866,27477,10559,40000,6175,46596,438,33921,2732,36406,24594,40089,6205,47014,536,33206,1516,45919,15852,47015,4853,47687,513,35417,2947,36842,15211,47631,4426,48332,606,36434,1680,31074,9224,51704,4285,48906,529,36762,2009,28863,3509,50125,7039,50176,474,37045,2312
"28","Nebraska",22412,3629,56684,8008,45743,756,35648,1812,28423,1879,58056,11051,47062,648,35639,2584,26637,1864,58827,5647,48922,452,36374,1725,28194,2234,57857,4644,51197,399,37774,1589,26505,1236,56563,4437,50031,299,37745,994,27468,1624,54847,3880,51552,301,37714,1092,27449,1313,52410,2519,53012,371,38720,1233,27817,1440,53135,2871,53996,305,38645,1157,27577,1190,50867,3017,54434,347,38461,1303,28376,1561,51551,3178,55369,401,39328,1346,29967,1403,50787,2943,56275,368,39703,964,30577,1305,49595,3312,57723,430,41429,1143
"29","Nevada",33987,3920,54161,2523,53110,1188,41373,1444,43027,3426,56021,4053,57812,1516,45392,1794,39594,1368,57164,2466,58620,763,45323,925,42295,1392,61470,2826,61618,657,47113,823,42257,1206,61167,1989,60459,495,46634,738,42193,1195,60944,1994,60751,503,46605,758,41249,1386,62250,2090,60971,595,45579,927,40414,1237,62217,2096,59342,535,44039,657,38637,1226,60827,2134,57919,552,43259,741,37269,1269,60168,1757,57399,576,43255,603,37566,1176,60329,1405,57074,533,43108,723,37435,1081,61775,996,58739,530,44672,726
"30","New Hampshire",42100,18410,62780,7421,56888,1073,51612,8852,43993,19546,69815,18202,59634,1270,55048,17034,45139,12656,69037,7024,61604,725,55611,6514,42500,11098,71508,5337,64328,641,50343,4032,40779,7466,73612,6967,63280,446,52137,4072,47638,7137,73495,4538,63477,553,51336,5560,47708,7129,76141,5964,64940,514,50800,5416,46517,4907,78145,5354,65307,537,46875,4860,48495,4781,74858,5788,65362,652,48961,4136,49815,3669,78339,5616,66460,565,48670,4592,50103,4814,79577,4169,67262,551,49749,4485,50362,5908,77799,4628,69139,567,50354,3136
"31","New Jersey",41236,1735,85723,3009,69665,809,42132,1053,44866,1433,91095,2971,71966,577,45049,1321,44858,791,93111,1541,74658,397,46408,794,47357,776,97656,1609,78200,440,48302,670,46139,562,96884,1358,77475,348,48093,756,47191,589,98932,1502,78090,390,48578,520,47455,696,101537,1341,79840,310,49701,679,47714,655,102138,965,80565,366,49401,659,46843,606,102575,1386,80802,340,49384,632,46640,603,103101,987,81644,335,49097,775,46546,564,104575,1295,82102,290,48265,684,47299,633,106785,1297,83969,433,49939,610
